label,start_sec,pe,wpe,mpe_tau1,mpe_tau2,mpe_tau3,mpe_tau4
0,0.0,0.7908801960339672,0.48283176251470605,0.7908801960339672,0.704095478071139,0.6067171607700829,0.6047290174602317
0,5.0,0.7820268100376669,0.4755891878187052,0.7820268100376669,0.695480822502205,0.597217101540802,0.5838895217854587
0,10.0,0.7834776253253712,0.5027708486731834,0.7834776253253712,0.6859176906423785,0.5858409039729661,0.5650134953166672
0,15.0,0.7476317681567377,0.4698343129205726,0.7476317681567377,0.6388840300501095,0.5371605061582189,0.5027485793924915
0,20.0,0.7526849575201637,0.4759917268086024,0.7526849575201637,0.6331781304905343,0.5295932123870354,0.506216897825278
0,25.0,0.703225276714851,0.4240010518067977,0.703225276714851,0.58725578702725,0.5088164495240647,0.49548166440200353
0,30.0,0.703636544024053,0.4302803686999581,0.703636544024053,0.5812115923106981,0.5068018543929899,0.4906891102834078
0,35.0,0.6918902893932627,0.4161209378017074,0.6918902893932627,0.5603351142862916,0.49360709969239064,0.4851697918168265
0,40.0,0.7166320732383265,0.4296576312671735,0.7166320732383265,0.5945719816008783,0.5101151794273205,0.5135384394754163
0,45.0,0.7623656091897085,0.48270646259424577,0.7623656091897085,0.6334128613316168,0.5409399883500033,0.5485355750604621
0,50.0,0.765197825537387,0.475840478673748,0.765197825537387,0.6605927162934395,0.5705343389463733,0.5752571933626633
0,55.0,0.7944335446281313,0.5409349246585834,0.7944335446281313,0.6818648625017375,0.5812298205155038,0.586040043299611
0,60.0,0.8023301898438905,0.5526599140763819,0.8023301898438905,0.6963670215006909,0.5828045404472336,0.5771916284777481
0,65.0,0.8043920884670993,0.5728893133768087,0.8043920884670993,0.7052716868518017,0.5946151696311776,0.5864764097464412
0,70.0,0.7838132627471502,0.5592039038303309,0.7838132627471502,0.693211751938525,0.6057509842119513,0.5815422132193763
0,75.0,0.8039538710601201,0.5692200646947946,0.8039538710601201,0.7273437517644398,0.6378395653443203,0.611897805807144
0,80.0,0.8195534529194521,0.5775368087716466,0.8195534529194521,0.7435098995475894,0.6514617478054057,0.6369671019605901
